section,metric,value
run,run_id,01a0d958-e869-7231-8a5c-13b15b6bdb34
run,plan,OK smoke
run,engine,anvil-native anvil-load/0.1.0+anvil-transport/0.1.0
run,started_at,2026-09-25T16:14:37.674036+00:00
run,finished_at,2026-09-25T16:14:37.694781+00:00
run,completion,Completed
run,partial,false
run,workload,Fixed iterations with bounded concurrency (closed): slowing responses lengthen the run rather than dropping work; no target rate.
run,connection_mode,Persistent
run,warmup_secs,0
run,seed,1
run,dataset_sha256,
run,measured_duration_secs,0.020
iterations,scheduled,200
iterations,started,200
iterations,dropped,0
iterations,completed,200
iterations,transport_failures,0
iterations,timeouts,0
iterations,canceled,0
iterations,in_flight_at_end,0
iterations,application_failures,0
iterations,assertion_failures,0
sends,started,200
sends,completed,200
sends,transport_failures,0
sends,timeouts,0
sends,canceled,0
sends,in_flight_at_end,0
sends,application_failures,0
sends,assertion_failures,0
sends,connections_opened,4
sends,connections_reused,196
rate,achieved_iterations_per_sec,10189.568
rate,offered_arrivals_per_sec,
latency_success_us,count,200
latency_success_us,min,107
latency_success_us,mean,178
latency_success_us,p50,155
latency_success_us,p90,226
latency_success_us,p95,255
latency_success_us,p99,708
latency_success_us,max,708
latency_failure_us,count,0
latency_failure_us,min,0
latency_failure_us,mean,0
latency_failure_us,p50,0
latency_failure_us,p90,0
latency_failure_us,p95,0
latency_failure_us,p99,0
latency_failure_us,max,0
setup_us,count,200
setup_us,min,41
setup_us,mean,198
setup_us,p50,51
setup_us,p90,59
setup_us,p95,64
setup_us,p99,7411
setup_us,max,7411
timeouts_censored,count,0
timeouts_censored,deadline_ms_min,
timeouts_censored,deadline_ms_max,
timeouts_censored,elapsed_max_us,0
timeouts_censored,label,"Censored at the deadline: each value is the time at which the send was abandoned, a lower bound on the latency the target would have produced. Excluded from the success and failure latency distributions."
status,200,200
bytes,sent,26600
bytes,received,94000
generator,peak_cpu_percent,
generator,peak_rss_bytes,31047680
generator,peak_open_fds,13
generator,p99_schedule_lag_us,0
generator,max_schedule_lag_us,0
generator,target_not_achieved,false
integrity,sha256,cc25e18e2e7e4339756f98f7637eb7eee74acddbcae26f27a17f005d835d99b6
